gene_id,log2foldchange,pvalue,padjust,gene_chr
AGAP010510,0.425651342623058,0.302496048991241,0.554023206972814,AgamP4_3L
AGAP008904,-1.50858688708823,0.302523937853809,0.554023206972814,AgamP4_3R
AGAP001094,0.782607032861404,0.302589751987979,0.55403838429586,AgamP4_X
AGAP013511,-0.24870169332548,0.302738553703665,0.554205476282075,AgamP4_2R
AGAP029396,-0.85979472714021,0.30335097362261,0.555221061755865,AgamP4_3R
AGAP012280,0.910141435853201,0.30356221538177,0.555372584907259,AgamP4_3L
AGAP007218,0.212968887992115,0.303602506240642,0.555372584907259,AgamP4_2L
AGAP006279,0.170251804250492,0.303606755221339,0.555372584907259,AgamP4_2L
AGAP012982,1.00923323581035,0.303786286582136,0.555438886041097,AgamP4_2R
AGAP004911,-0.386399896382459,0.303805533442398,0.555438886041097,AgamP4_2L
AGAP008317,-0.141265391274572,0.303959692978409,0.555438886041097,AgamP4_3R
AGAP009078,0.472725782650877,0.303980736877669,0.555438886041097,AgamP4_3R
AGAP011960,0.401404106813516,0.304014419108945,0.555438886041097,AgamP4_3L
AGAP009703,0.696293249999966,0.304033627399809,0.555438886041097,AgamP4_3R
AGAP004797,0.199588798875437,0.30412012276837,0.555438886041097,AgamP4_2L
AGAP010224,0.195647524673657,0.304160045660586,0.555438886041097,AgamP4_3R
AGAP001386,0.118350322584823,0.304162048071929,0.555438886041097,AgamP4_2R
AGAP011073,-0.33376367658631,0.304273541095499,0.555537151524313,AgamP4_3L
AGAP013762,0.458369485427578,0.304547374749304,0.555931722177889,AgamP4_3R
AGAP003235,3.2970242009007,0.304600270995057,1,AgamP4_2R
AGAP006880,-0.183418112420286,0.30464641928294,0.55600713741027,AgamP4_2L
AGAP029051,-0.097078047533046,0.304735263565294,0.556063911215867,AgamP4_3L
AGAP004431,-0.176968081348121,0.304830486005112,0.556108624757165,AgamP4_2R
AGAP029376,-1.30031204257679,0.304875250619648,0.556108624757165,AgamP4_2R
AGAP010033,-0.369334113347341,0.305001086397482,0.556232808766171,AgamP4_3R
AGAP002095,-0.344185454894837,0.30538168875229,0.55682147754133,AgamP4_2R
