ontology,GO,description,hours,gene
MF,GO:0046914,transition metal ion binding,6,AGAP006224
MF,GO:0046914,transition metal ion binding,6,AGAP006226
MF,GO:0046914,transition metal ion binding,6,AGAP006360
MF,GO:0046914,transition metal ion binding,6,AGAP006571
MF,GO:0046914,transition metal ion binding,6,AGAP006797
MF,GO:0046914,transition metal ion binding,6,AGAP006997
MF,GO:0046914,transition metal ion binding,6,AGAP007026
MF,GO:0046914,transition metal ion binding,6,AGAP007174
MF,GO:0046914,transition metal ion binding,6,AGAP007180
MF,GO:0046914,transition metal ion binding,6,AGAP007279
MF,GO:0046914,transition metal ion binding,6,AGAP007530
MF,GO:0046914,transition metal ion binding,6,AGAP007918
MF,GO:0046914,transition metal ion binding,6,AGAP008158
MF,GO:0046914,transition metal ion binding,6,AGAP008204
MF,GO:0046914,transition metal ion binding,6,AGAP008209
MF,GO:0046914,transition metal ion binding,6,AGAP008218
MF,GO:0046914,transition metal ion binding,6,AGAP008393
MF,GO:0046914,transition metal ion binding,6,AGAP008430
MF,GO:0046914,transition metal ion binding,6,AGAP008774
MF,GO:0046914,transition metal ion binding,6,AGAP008851
MF,GO:0046914,transition metal ion binding,6,AGAP009177
MF,GO:0046914,transition metal ion binding,6,AGAP009240
MF,GO:0046914,transition metal ion binding,6,AGAP009374
MF,GO:0046914,transition metal ion binding,6,AGAP009511
MF,GO:0046914,transition metal ion binding,6,AGAP009512
MF,GO:0046914,transition metal ion binding,6,AGAP010028
MF,GO:0046914,transition metal ion binding,6,AGAP010764
MF,GO:0046914,transition metal ion binding,6,AGAP010877
MF,GO:0046914,transition metal ion binding,6,AGAP010981
MF,GO:0046914,transition metal ion binding,6,AGAP010982
MF,GO:0046914,transition metal ion binding,6,AGAP011282
MF,GO:0046914,transition metal ion binding,6,AGAP011414
MF,GO:0046914,transition metal ion binding,6,AGAP011448
MF,GO:0046914,transition metal ion binding,6,AGAP011613
MF,GO:0046914,transition metal ion binding,6,AGAP011871
MF,GO:0046914,transition metal ion binding,6,AGAP012119
MF,GO:0046914,transition metal ion binding,6,AGAP012292
MF,GO:0046914,transition metal ion binding,6,AGAP012296
MF,GO:0046914,transition metal ion binding,6,AGAP012745
MF,GO:0046914,transition metal ion binding,6,AGAP012800
